canonic,term,nslabel,is_cult
ad,principado de andorra,country-pt,
ad,principat d andorra,country-pt,
ar,argenitna,country-pt,
ar,argentin,country-pt,
ar,rapublica argentina,country-pt,
ar,republica argentina,country-pt,
ba,bósnia-herzegovina,country-pt,
be,belgica,country-pt,
be,bélgica.,country-pt,
bg,bulgary,country-pt,
br,barsil,country-pt,
br,barzil,country-pt,
br,braisl,country-pt,
br,bras,country-pt,
br,brasi,country-pt,
br,brasilia,country-pt,
br,brasill,country-pt,
br,brasl,country-pt,
br,brasli,country-pt,
br,brassil,country-pt,
br,brazi,country-pt,
br,brazili,country-pt,
br,brazill,country-pt,
br,bresil,country-pt,
br,brsil,country-pt,
br,brzail,country-pt,
br,brzil,country-pt,
br,rasil,country-pt,
br,razil,country-pt,
ca,cánada.,country-pt,
ch,switzerlan,country-pt,
cl,chiile,country-pt,
cl,chil,country-pt,
cl,chila,country-pt,
cl,chille,country-pt,
cm,camarões,country-pt,
cn,chin,country-pt,
cn,p.r china,country-pt,
cn,p.r. china,country-pt,
cn,pr china,country-pt,
cn,republica popular da china,country-pt,
cn,república popular da china,country-pt,
cn,republica popular de china,country-pt,
cn,república popular de china,country-pt,
co,colombi,country-pt,
cr,costa ric,country-pt,
cz,republica chec,country-pt,
cz,republica checa,country-pt,
cz,republica tcheca,country-pt,
de,gemany,country-pt,
de,german,country-pt,
do,republica dominicana,country-pt,
dz,algerie,country-pt,
ee,estoni,country-pt,
eh,western sahara*,country-pt,
es,barcelona,country-pt,
es,eespana,country-pt,
es,espaa a,country-pt,
es,espain,country-pt,
es,espan,country-pt,
es,espana,country-pt,
es,espa ña,country-pt,
es,espnaa,country-pt,
es,spana,country-pt,
fr,french,country-pt,
gr,grece,country-pt,
in,chennai,country-pt,
in,indian,country-pt,
jp,japao,country-pt,
kn,são cristóvão e névis,country-pt,
kp,coreia,country-pt,
kp,coréia do norte,country-pt,
kp,coréia do sul,country-pt,
kr,korea,country-pt,
kw,kuweit,country-pt,
kw,kwait,country-pt,
lb,lebano,country-pt,
lc,st lucia,country-pt,
ma,morrocco,country-pt,
md,moldova,country-pt,
mk,macedonia,country-pt,
mk,macedônia,country-pt,
ml,malí,country-pt,
mx,ma xico,country-pt,
mx,mexic,country-pt,
mx,me xico,country-pt,
ng,naigeria,country-pt,
ng,zaria,country-pt,
ni,nigaragua,country-pt,
nl,holland,country-pt,
nl,nederlands,country-pt,
nl,netherlnds,country-pt,
nl,paises bajos,country-pt,
nz,new zeland,country-pt,
nz,nova zelandia,country-pt,
nz,nueva zelandia,country-pt,
pa,republica de panama,country-pt,
pa,republica de panamá.,country-pt,
pa,republica do panama,country-pt,
pe,piura,country-pt,
pg,papua n guinea,country-pt,
pg,papua nova guiné,country-pt,
pg,papua nueva guinea,country-pt,
pk,pakista,country-pt,
pk,pakistana,country-pt,
pk,paksitan,country-pt,
ps,palestine,country-pt,
pt,portugl,country-pt,
pt,portugual,country-pt,
ro,romenia,country-pt,
ro,rumania,country-pt,
rs,servia,country-pt,
sa,saudia arabia,country-pt,
sa,saudi arabi,country-pt,
sd,sudao,country-pt,
sg,singapura,country-pt,
sh,saint helena,country-pt,
sy,syria,country-pt,
tc,ilhas turcas e caicos,country-pt,
th,thaliand,country-pt,
tk,toquelau,country-pt,
tm,turquemenistão,country-pt,
tn,tunes,country-pt,
tn,tunez,country-pt,
tr,tuirkey,country-pt,
tr,turke,country-pt,
tr,turkia,country-pt,
us,estados unidos da america,country-pt,
us,estados unidos de america,country-pt,
us,estados unidos de américa,country-pt,
us,unidet states,country-pt,
ve,republica bolivariana de venezuela,country-pt,
ve,republica bolivariana de venzuela,country-pt,
ve,venazuela,country-pt,
ve,venezela,country-pt,
ve,venezuel,country-pt,
ve,venezulea,country-pt,
ve,venzuela,country-pt,
ve,zulia,country-pt,
